run_id,benchmark_id,model_id,stage,expert_category,round,config_id,expected_tasks,observed_tasks,missing_tasks,included_in_paper
pro618__base__r01,pro618,base,base,,1,pro618_eval,618,618,0,true
pro618__base__r02,pro618,base,base,,2,pro618_eval,618,618,0,true
pro618__base__r03,pro618,base,base,,3,pro618_eval,618,618,0,true
pro618__pooled__r01,pro618,pooled,pooled_rl,,1,pro618_eval,618,617,1,true
pro618__pooled__r02,pro618,pooled,pooled_rl,,2,pro618_eval,618,618,0,true
pro618__pooled__r03,pro618,pooled,pooled_rl,,3,pro618_eval,618,618,0,true
pro618__balanced__r01,pro618,balanced,balanced_rl,,1,pro618_eval,618,618,0,true
pro618__balanced__r02,pro618,balanced,balanced_rl,,2,pro618_eval,618,618,0,true
pro618__balanced__r03,pro618,balanced,balanced_rl,,3,pro618_eval,618,617,1,true
pro618__mopd__r01,pro618,mopd,mopd,,1,pro618_eval,618,618,0,true
pro618__mopd__r02,pro618,mopd,mopd,,2,pro618_eval,618,618,0,true
pro618__mopd__r03,pro618,mopd,mopd,,3,pro618_eval,618,617,1,true
pro618__expert_A_initial_rl__r01,pro618,expert_A_initial_rl,initial_rl,A,1,pro618_eval,618,618,0,true
pro618__expert_A_initial_rl__r02,pro618,expert_A_initial_rl,initial_rl,A,2,pro618_eval,618,617,1,true
pro618__expert_A_initial_rl__r03,pro618,expert_A_initial_rl,initial_rl,A,3,pro618_eval,618,618,0,true
pro618__expert_B_initial_rl__r01,pro618,expert_B_initial_rl,initial_rl,B,1,pro618_eval,618,618,0,true
pro618__expert_B_initial_rl__r02,pro618,expert_B_initial_rl,initial_rl,B,2,pro618_eval,618,618,0,true
pro618__expert_B_initial_rl__r03,pro618,expert_B_initial_rl,initial_rl,B,3,pro618_eval,618,618,0,true
pro618__expert_C_initial_rl__r01,pro618,expert_C_initial_rl,initial_rl,C,1,pro618_eval,618,617,1,true
pro618__expert_C_initial_rl__r02,pro618,expert_C_initial_rl,initial_rl,C,2,pro618_eval,618,617,1,true
pro618__expert_C_initial_rl__r03,pro618,expert_C_initial_rl,initial_rl,C,3,pro618_eval,618,617,1,true
pro618__expert_A_first_repair_sft__r01,pro618,expert_A_first_repair_sft,first_repair_sft,A,1,pro618_eval,618,617,1,true
pro618__expert_A_first_repair_sft__r02,pro618,expert_A_first_repair_sft,first_repair_sft,A,2,pro618_eval,618,617,1,true
pro618__expert_A_first_repair_sft__r03,pro618,expert_A_first_repair_sft,first_repair_sft,A,3,pro618_eval,618,617,1,true
pro618__expert_B_first_repair_sft__r01,pro618,expert_B_first_repair_sft,first_repair_sft,B,1,pro618_eval,618,616,2,true
pro618__expert_B_first_repair_sft__r02,pro618,expert_B_first_repair_sft,first_repair_sft,B,2,pro618_eval,618,618,0,true
pro618__expert_B_first_repair_sft__r03,pro618,expert_B_first_repair_sft,first_repair_sft,B,3,pro618_eval,618,617,1,true
pro618__expert_C_first_repair_sft__r01,pro618,expert_C_first_repair_sft,first_repair_sft,C,1,pro618_eval,618,617,1,true
pro618__expert_C_first_repair_sft__r02,pro618,expert_C_first_repair_sft,first_repair_sft,C,2,pro618_eval,618,618,0,true
pro618__expert_C_first_repair_sft__r03,pro618,expert_C_first_repair_sft,first_repair_sft,C,3,pro618_eval,618,618,0,true
pro618__expert_A_expanded_rl__r01,pro618,expert_A_expanded_rl,expanded_rl,A,1,pro618_eval,618,616,2,true
pro618__expert_A_expanded_rl__r02,pro618,expert_A_expanded_rl,expanded_rl,A,2,pro618_eval,618,618,0,true
pro618__expert_A_expanded_rl__r03,pro618,expert_A_expanded_rl,expanded_rl,A,3,pro618_eval,618,616,2,true
pro618__expert_B_expanded_rl__r01,pro618,expert_B_expanded_rl,expanded_rl,B,1,pro618_eval,618,617,1,true
pro618__expert_B_expanded_rl__r02,pro618,expert_B_expanded_rl,expanded_rl,B,2,pro618_eval,618,617,1,true
pro618__expert_B_expanded_rl__r03,pro618,expert_B_expanded_rl,expanded_rl,B,3,pro618_eval,618,617,1,true
pro618__expert_C_expanded_rl__r01,pro618,expert_C_expanded_rl,expanded_rl,C,1,pro618_eval,618,618,0,true
pro618__expert_C_expanded_rl__r02,pro618,expert_C_expanded_rl,expanded_rl,C,2,pro618_eval,618,618,0,true
pro618__expert_C_expanded_rl__r03,pro618,expert_C_expanded_rl,expanded_rl,C,3,pro618_eval,618,618,0,true
pro618__expert_A_second_repair_sft__r01,pro618,expert_A_second_repair_sft,second_repair_sft,A,1,pro618_eval,618,618,0,true
pro618__expert_A_second_repair_sft__r02,pro618,expert_A_second_repair_sft,second_repair_sft,A,2,pro618_eval,618,618,0,true
pro618__expert_A_second_repair_sft__r03,pro618,expert_A_second_repair_sft,second_repair_sft,A,3,pro618_eval,618,618,0,true
pro618__expert_B_second_repair_sft__r01,pro618,expert_B_second_repair_sft,second_repair_sft,B,1,pro618_eval,618,618,0,true
pro618__expert_B_second_repair_sft__r02,pro618,expert_B_second_repair_sft,second_repair_sft,B,2,pro618_eval,618,616,2,true
pro618__expert_B_second_repair_sft__r03,pro618,expert_B_second_repair_sft,second_repair_sft,B,3,pro618_eval,618,617,1,true
pro618__expert_C_second_repair_sft__r01,pro618,expert_C_second_repair_sft,second_repair_sft,C,1,pro618_eval,618,617,1,true
pro618__expert_C_second_repair_sft__r02,pro618,expert_C_second_repair_sft,second_repair_sft,C,2,pro618_eval,618,618,0,true
pro618__expert_C_second_repair_sft__r03,pro618,expert_C_second_repair_sft,second_repair_sft,C,3,pro618_eval,618,617,1,true
swebench_multilingual__base__r01,swebench_multilingual,base,base,,1,multilingual_eval,300,300,0,true
swebench_multilingual__base__r02,swebench_multilingual,base,base,,2,multilingual_eval,300,300,0,true
swebench_multilingual__base__r03,swebench_multilingual,base,base,,3,multilingual_eval,300,300,0,true
swebench_multilingual__pooled__r01,swebench_multilingual,pooled,pooled_rl,,1,multilingual_eval,300,300,0,true
swebench_multilingual__pooled__r02,swebench_multilingual,pooled,pooled_rl,,2,multilingual_eval,300,300,0,true
swebench_multilingual__pooled__r03,swebench_multilingual,pooled,pooled_rl,,3,multilingual_eval,300,300,0,true
swebench_multilingual__balanced__r01,swebench_multilingual,balanced,balanced_rl,,1,multilingual_eval,300,300,0,true
swebench_multilingual__balanced__r02,swebench_multilingual,balanced,balanced_rl,,2,multilingual_eval,300,300,0,true
swebench_multilingual__balanced__r03,swebench_multilingual,balanced,balanced_rl,,3,multilingual_eval,300,300,0,true
swebench_multilingual__mopd__r01,swebench_multilingual,mopd,mopd,,1,multilingual_eval,300,300,0,true
swebench_multilingual__mopd__r02,swebench_multilingual,mopd,mopd,,2,multilingual_eval,300,300,0,true
swebench_multilingual__mopd__r03,swebench_multilingual,mopd,mopd,,3,multilingual_eval,300,300,0,true
